
--- MONITOREO COLA INTELIGENTE 2026-02-20 18:23:00.772657 ---
Timestamp | System_Used(GB) | Free(GB) | Proc_RAM(GB)
18:23:00 | 16.12 | 235.65 | 0.43
18:23:16 | 18.97 | 232.80 | 4.37
18:23:31 | 19.00 | 232.77 | 4.37
18:23:46 | 24.61 | 227.16 | 9.96
18:24:01 | 33.65 | 218.12 | 18.90
18:24:16 | 36.20 | 215.57 | 21.00
18:24:31 | 59.76 | 192.01 | 76.02
18:24:47 | 89.40 | 162.37 | 105.56
18:25:02 | 91.87 | 159.90 | 176.35
18:25:17 | 117.76 | 134.01 | 509.33
18:25:32 | 120.44 | 131.33 | 510.77
18:25:47 | 121.40 | 130.37 | 511.15
18:26:03 | 120.60 | 131.17 | 511.20
18:26:18 | 121.31 | 130.46 | 511.28
18:26:33 | 122.74 | 129.03 | 511.63
18:26:48 | 123.08 | 128.68 | 511.67
18:27:03 | 122.30 | 129.47 | 511.76
18:27:18 | 123.01 | 128.76 | 511.82
18:27:34 | 123.70 | 128.07 | 511.82
18:27:49 | 122.82 | 128.95 | 511.88
18:28:04 | 123.67 | 128.10 | 511.95
18:28:19 | 124.28 | 127.48 | 511.95
18:28:34 | 123.36 | 128.40 | 511.95
18:28:50 | 124.00 | 127.77 | 512.09
18:29:05 | 124.60 | 127.17 | 512.09
18:29:20 | 123.46 | 128.31 | 512.21
18:29:35 | 124.17 | 127.60 | 512.19
18:29:50 | 124.73 | 127.04 | 512.24
18:30:05 | 123.98 | 127.79 | 512.33
18:30:21 | 124.79 | 126.98 | 512.39
18:30:36 | 125.54 | 126.22 | 512.39
18:30:51 | 124.44 | 127.33 | 512.42
18:31:06 | 125.42 | 126.34 | 512.48
18:31:21 | 125.70 | 126.06 | 512.52
18:31:36 | 124.93 | 126.83 | 512.52
18:31:52 | 125.66 | 126.11 | 512.69
18:32:07 | 126.15 | 125.62 | 512.69
18:32:22 | 125.20 | 126.57 | 512.69
18:32:37 | 125.87 | 125.90 | 512.69
18:32:52 | 126.62 | 125.15 | 512.69
18:33:07 | 125.64 | 126.13 | 512.69
18:33:23 | 126.47 | 125.30 | 512.69
18:33:38 | 126.64 | 125.12 | 512.69
18:33:53 | 126.90 | 124.87 | 512.69
18:34:08 | 126.17 | 125.60 | 512.69
18:34:23 | 126.07 | 125.70 | 512.69
18:34:39 | 126.39 | 125.38 | 512.69
18:34:54 | 126.44 | 125.33 | 512.69
18:35:09 | 126.39 | 125.38 | 512.69
18:35:24 | 126.59 | 125.17 | 512.75
18:35:39 | 127.27 | 124.49 | 512.75
18:35:54 | 127.23 | 124.54 | 512.77
18:36:10 | 127.12 | 124.65 | 512.75
18:36:25 | 127.53 | 124.24 | 512.75
18:36:40 | 127.61 | 124.16 | 512.75
18:36:55 | 127.52 | 124.24 | 512.75
18:37:10 | 127.72 | 124.04 | 512.75
18:37:25 | 127.75 | 124.02 | 512.75
18:37:41 | 128.01 | 123.76 | 512.75
18:37:56 | 128.14 | 123.63 | 512.75
18:38:11 | 128.24 | 123.53 | 512.75
18:38:26 | 128.18 | 123.59 | 512.75
18:38:41 | 128.31 | 123.45 | 512.75
18:38:57 | 128.58 | 123.19 | 512.75
18:39:12 | 128.45 | 123.32 | 512.75
18:39:27 | 128.69 | 123.08 | 512.78
18:39:42 | 128.89 | 122.87 | 512.78
18:39:57 | 128.92 | 122.85 | 512.78
18:40:12 | 129.20 | 122.57 | 512.78
18:40:27 | 129.20 | 122.56 | 512.78
18:40:43 | 129.27 | 122.50 | 512.78
18:40:58 | 129.54 | 122.22 | 512.84
18:41:13 | 129.70 | 122.07 | 512.90
18:41:28 | 129.78 | 121.98 | 512.90
18:41:43 | 129.85 | 121.92 | 512.90
18:41:58 | 129.91 | 121.85 | 512.93
18:42:14 | 129.94 | 121.82 | 512.93
18:42:29 | 130.30 | 121.47 | 512.93
18:42:44 | 129.99 | 121.78 | 512.93
18:42:59 | 130.20 | 121.56 | 512.93
18:43:14 | 130.31 | 121.46 | 512.93
18:43:30 | 130.50 | 121.27 | 512.93
18:43:45 | 130.53 | 121.24 | 512.93
18:44:00 | 130.77 | 121.00 | 512.93
18:44:15 | 130.72 | 121.05 | 512.93
18:44:30 | 130.86 | 120.91 | 512.99
18:44:45 | 131.11 | 120.66 | 513.00
18:45:01 | 130.84 | 120.93 | 512.52
18:45:16 | 131.11 | 120.66 | 512.52
18:45:31 | 131.23 | 120.54 | 512.52
18:45:46 | 131.16 | 120.60 | 512.52
18:46:01 | 131.20 | 120.56 | 512.52
18:46:16 | 131.35 | 120.42 | 512.28
18:46:32 | 131.38 | 120.38 | 512.28
18:46:47 | 131.39 | 120.38 | 512.28
18:47:02 | 131.63 | 120.13 | 512.28
18:47:17 | 131.63 | 120.14 | 512.30
18:47:32 | 131.87 | 119.90 | 512.28
18:47:48 | 131.72 | 120.05 | 512.28
18:48:03 | 131.70 | 120.07 | 512.28
18:48:18 | 131.93 | 119.84 | 512.35
18:48:33 | 132.00 | 119.77 | 512.35
18:48:48 | 132.07 | 119.70 | 512.35
18:49:03 | 132.19 | 119.57 | 512.35
18:49:19 | 132.17 | 119.59 | 512.35
18:49:34 | 132.27 | 119.49 | 512.35
18:49:49 | 132.26 | 119.50 | 512.35
18:50:04 | 132.06 | 119.71 | 512.35
18:50:19 | 132.78 | 118.99 | 512.23
18:50:34 | 133.16 | 118.61 | 512.23
18:50:50 | 133.12 | 118.64 | 512.23
18:51:05 | 133.41 | 118.36 | 512.23
18:51:20 | 133.56 | 118.21 | 512.23
18:51:35 | 134.51 | 117.26 | 512.23
18:51:50 | 135.22 | 116.55 | 512.23
18:52:06 | 135.44 | 116.33 | 512.36
18:52:21 | 135.63 | 116.14 | 512.26
18:52:36 | 135.67 | 116.10 | 512.32
18:52:51 | 135.72 | 116.05 | 512.32
18:53:06 | 135.88 | 115.89 | 512.31
18:53:21 | 135.92 | 115.85 | 512.31
18:53:37 | 135.79 | 115.98 | 512.31
18:53:52 | 135.89 | 115.88 | 512.31
18:54:07 | 135.80 | 115.96 | 512.31
18:54:22 | 135.89 | 115.87 | 512.31
18:54:37 | 136.33 | 115.44 | 512.31
18:54:52 | 136.98 | 114.79 | 512.30
18:55:08 | 137.38 | 114.38 | 512.29
18:55:23 | 137.34 | 114.43 | 512.29
18:55:38 | 137.42 | 114.35 | 512.29
18:55:53 | 137.45 | 114.32 | 512.29
18:56:08 | 137.66 | 114.11 | 512.29
18:56:23 | 137.88 | 113.88 | 512.30
18:56:39 | 137.69 | 114.07 | 512.28
18:56:54 | 137.57 | 114.20 | 512.28
18:57:09 | 137.80 | 113.97 | 512.28
18:57:24 | 137.73 | 114.04 | 512.35
18:57:39 | 138.18 | 113.59 | 512.35
18:57:55 | 138.28 | 113.49 | 512.35
18:58:10 | 138.10 | 113.67 | 512.34
18:58:25 | 138.58 | 113.19 | 512.34
18:58:40 | 138.50 | 113.27 | 512.34
18:58:55 | 138.78 | 112.99 | 512.34
18:59:10 | 138.75 | 113.01 | 512.34
18:59:26 | 138.68 | 113.08 | 512.34
18:59:41 | 138.79 | 112.98 | 512.35
18:59:56 | 134.88 | 116.89 | 512.46
19:00:11 | 135.10 | 116.66 | 512.42
19:00:26 | 135.06 | 116.71 | 512.42
19:00:41 | 135.35 | 116.42 | 512.42
19:00:57 | 135.38 | 116.39 | 512.42
19:01:12 | 135.59 | 116.17 | 512.42
19:01:27 | 135.51 | 116.25 | 512.42
19:01:42 | 135.47 | 116.30 | 512.42
19:01:57 | 135.56 | 116.21 | 512.42
19:02:12 | 135.63 | 116.13 | 512.42
19:02:28 | 135.93 | 115.84 | 512.42
19:02:43 | 135.96 | 115.81 | 512.32
19:02:58 | 136.23 | 115.54 | 512.34
19:03:13 | 136.06 | 115.71 | 512.33
19:03:28 | 136.08 | 115.68 | 512.32
19:03:43 | 135.98 | 115.79 | 512.36
19:03:59 | 136.29 | 115.47 | 512.32
19:04:14 | 136.51 | 115.25 | 512.32
19:04:29 | 136.59 | 115.18 | 512.32
19:04:44 | 136.73 | 115.04 | 512.31
19:04:59 | 136.81 | 114.96 | 512.31
19:05:15 | 136.54 | 115.23 | 512.31
19:05:30 | 136.84 | 114.92 | 512.31
19:05:45 | 136.97 | 114.80 | 512.31
19:06:00 | 137.17 | 114.59 | 512.31
19:06:15 | 137.15 | 114.61 | 512.31
19:06:30 | 137.25 | 114.51 | 512.31
19:06:46 | 137.35 | 114.42 | 512.31
19:07:01 | 137.25 | 114.52 | 512.32
19:07:16 | 137.35 | 114.42 | 512.31
19:07:31 | 137.37 | 114.40 | 512.31
19:07:46 | 137.40 | 114.37 | 512.31
19:08:01 | 137.51 | 114.26 | 512.35
19:08:17 | 137.80 | 113.97 | 512.35
19:08:32 | 137.92 | 113.85 | 512.35
19:08:47 | 137.99 | 113.77 | 512.35
19:09:02 | 138.19 | 113.57 | 512.35
19:09:17 | 137.89 | 113.87 | 512.35
19:09:32 | 138.11 | 113.66 | 512.34
19:09:48 | 138.05 | 113.72 | 512.34
19:10:03 | 138.37 | 113.40 | 512.34
19:10:18 | 138.12 | 113.65 | 512.34
19:10:33 | 138.27 | 113.50 | 512.34
19:10:48 | 138.31 | 113.46 | 512.34
19:11:04 | 138.54 | 113.23 | 512.34
19:11:19 | 138.91 | 112.86 | 512.37
19:11:34 | 139.12 | 112.65 | 512.37
19:11:49 | 139.28 | 112.49 | 512.37
19:12:04 | 138.72 | 113.05 | 512.37
19:12:19 | 138.81 | 112.96 | 512.37
19:12:35 | 138.79 | 112.98 | 512.37
19:12:50 | 138.72 | 113.05 | 512.37
19:13:05 | 138.51 | 113.26 | 512.37
19:13:20 | 138.75 | 113.01 | 512.37
19:13:35 | 138.86 | 112.91 | 512.37
19:13:50 | 138.90 | 112.87 | 512.37
19:14:06 | 139.57 | 112.20 | 512.37
19:14:21 | 140.32 | 111.44 | 512.37
19:14:36 | 140.09 | 111.68 | 512.37
19:14:51 | 140.20 | 111.56 | 512.37
19:15:06 | 140.46 | 111.31 | 512.37
19:15:21 | 140.61 | 111.16 | 512.37
19:15:37 | 139.07 | 112.70 | 512.37
19:15:52 | 139.25 | 112.52 | 512.37
19:16:07 | 139.18 | 112.58 | 512.37
19:16:22 | 138.88 | 112.88 | 512.37
19:16:37 | 139.14 | 112.62 | 512.37
19:16:52 | 139.05 | 112.72 | 512.37
19:17:08 | 138.99 | 112.78 | 512.37
19:17:23 | 139.12 | 112.65 | 512.37
19:17:38 | 139.26 | 112.51 | 512.37
19:17:53 | 139.09 | 112.68 | 512.39
19:18:08 | 139.42 | 112.35 | 512.37
19:18:23 | 139.40 | 112.37 | 512.43
19:18:39 | 139.36 | 112.41 | 512.43
19:18:54 | 139.26 | 112.50 | 512.43
19:19:09 | 139.66 | 112.11 | 512.31
19:19:24 | 139.79 | 111.98 | 512.13
19:19:39 | 140.34 | 111.43 | 511.91
19:19:54 | 140.21 | 111.56 | 511.83
19:20:10 | 140.71 | 111.06 | 511.77
19:20:25 | 140.23 | 111.54 | 511.68
19:20:40 | 140.52 | 111.25 | 511.63
19:20:55 | 140.72 | 111.05 | 511.52
19:21:10 | 140.83 | 110.94 | 511.36
19:21:25 | 141.33 | 110.44 | 511.36
19:21:41 | 140.92 | 110.85 | 511.36
