
--- INICIO MONITOREO VALIDACIÓN V15.1 2026-02-26 15:19:10.251950 ---
Timestamp | System_Used(GB) | Free(GB) | Proc_RAM(GB)
15:19:10 | 20.91 | 230.86 | 0.43

--- INICIO MONITOREO VALIDACIÓN V15.1 2026-02-26 15:20:21.980197 ---
Timestamp | System_Used(GB) | Free(GB) | Proc_RAM(GB)
15:20:22 | 21.08 | 230.68 | 0.43

--- INICIO MONITOREO VALIDACIÓN V15.1 2026-02-26 15:21:57.774415 ---
Timestamp | System_Used(GB) | Free(GB) | Proc_RAM(GB)
15:21:57 | 21.16 | 230.61 | 0.43
15:22:13 | 24.28 | 227.49 | 21.01
15:22:28 | 24.54 | 227.23 | 21.03
15:22:44 | 24.53 | 227.23 | 21.04
15:22:59 | 25.11 | 226.65 | 21.07
15:23:15 | 28.33 | 223.44 | 21.07
15:23:30 | 32.70 | 219.07 | 21.07
15:23:46 | 28.97 | 222.80 | 21.08
15:24:01 | 27.08 | 224.68 | 21.10
15:24:17 | 27.42 | 224.35 | 21.15
15:24:32 | 27.17 | 224.60 | 21.14
15:24:48 | 26.64 | 225.13 | 21.16
15:25:03 | 26.44 | 225.33 | 21.17
15:25:19 | 25.22 | 226.55 | 21.17
15:25:35 | 25.22 | 226.55 | 21.17
15:25:50 | 25.39 | 226.37 | 21.18
15:26:06 | 25.35 | 226.42 | 21.19
15:26:21 | 25.41 | 226.35 | 21.21
15:26:37 | 25.37 | 226.40 | 21.23
15:26:53 | 25.49 | 226.27 | 21.25
15:27:08 | 25.37 | 226.40 | 21.26
15:27:24 | 25.41 | 226.36 | 21.29
15:27:39 | 25.45 | 226.32 | 21.31
15:27:55 | 25.52 | 226.25 | 21.33
15:28:11 | 25.54 | 226.23 | 21.34
15:28:26 | 25.54 | 226.23 | 21.37
15:28:42 | 25.54 | 226.23 | 21.39
15:28:58 | 25.77 | 226.00 | 21.42
15:29:13 | 25.65 | 226.11 | 21.44
15:29:29 | 25.70 | 226.07 | 21.47
15:29:45 | 25.71 | 226.05 | 21.49
15:30:01 | 25.66 | 226.11 | 21.51
15:30:16 | 25.83 | 225.94 | 21.54
15:30:32 | 25.83 | 225.94 | 21.56
15:30:48 | 25.85 | 225.92 | 21.59
15:31:04 | 25.89 | 225.88 | 21.61
15:31:20 | 26.14 | 225.63 | 21.63
15:31:35 | 26.03 | 225.73 | 21.66
15:31:51 | 26.05 | 225.72 | 21.68
15:32:07 | 26.00 | 225.77 | 21.71
15:32:23 | 26.12 | 225.65 | 21.73
15:32:39 | 26.04 | 225.73 | 21.77
15:32:55 | 26.02 | 225.75 | 21.79
15:33:10 | 26.13 | 225.64 | 21.81
15:33:26 | 26.12 | 225.64 | 21.83
15:33:42 | 26.20 | 225.56 | 21.86
15:33:58 | 26.17 | 225.60 | 21.88
15:34:14 | 26.18 | 225.59 | 21.91
15:34:30 | 26.25 | 225.52 | 21.93
15:34:46 | 26.33 | 225.43 | 21.95
15:35:02 | 26.32 | 225.44 | 21.98
15:35:18 | 26.39 | 225.38 | 22.00
15:35:34 | 26.36 | 225.41 | 22.03
15:35:50 | 26.67 | 225.10 | 22.05
15:36:06 | 26.53 | 225.23 | 22.07
15:36:22 | 26.59 | 225.18 | 22.10
15:36:39 | 26.52 | 225.25 | 22.12
15:36:55 | 26.48 | 225.29 | 22.15
15:37:11 | 26.49 | 225.28 | 22.16
15:37:27 | 26.50 | 225.27 | 22.18
15:37:43 | 26.51 | 225.25 | 22.21
15:37:59 | 26.55 | 225.21 | 22.25
15:38:15 | 26.66 | 225.11 | 22.27
15:38:32 | 26.67 | 225.09 | 22.30
15:38:48 | 26.71 | 225.06 | 22.33
15:39:04 | 26.61 | 225.16 | 22.32
15:39:20 | 26.76 | 225.01 | 22.39
15:39:37 | 26.82 | 224.94 | 22.41
15:39:53 | 26.83 | 224.93 | 22.43
15:40:09 | 26.80 | 224.96 | 22.43
15:40:26 | 26.94 | 224.83 | 22.45
15:40:42 | 26.84 | 224.93 | 22.47
15:40:58 | 26.95 | 224.82 | 22.50
15:41:15 | 26.88 | 224.89 | 22.52
15:41:31 | 27.09 | 224.68 | 22.55
15:41:48 | 27.05 | 224.72 | 22.58
15:42:04 | 27.09 | 224.68 | 22.62
15:42:20 | 27.07 | 224.70 | 22.62
15:42:37 | 27.18 | 224.59 | 22.64
15:42:53 | 27.28 | 224.48 | 22.69
15:43:10 | 27.24 | 224.53 | 22.72
15:43:26 | 27.33 | 224.44 | 22.74
15:43:42 | 27.34 | 224.42 | 22.76
15:43:59 | 27.46 | 224.30 | 22.77
15:44:16 | 27.36 | 224.40 | 22.79
15:44:32 | 27.41 | 224.36 | 22.81
15:44:49 | 27.46 | 224.31 | 22.86
15:45:05 | 27.49 | 224.28 | 22.86
15:45:22 | 27.55 | 224.22 | 22.90
15:45:38 | 27.49 | 224.27 | 22.92
15:45:55 | 27.55 | 224.21 | 22.95
15:46:12 | 27.72 | 224.05 | 22.97
15:46:28 | 27.62 | 224.15 | 22.98
15:46:45 | 27.55 | 224.21 | 23.00
15:47:02 | 27.61 | 224.16 | 23.06
15:47:18 | 27.77 | 224.00 | 23.05
15:47:35 | 27.69 | 224.08 | 23.10
15:47:52 | 27.66 | 224.11 | 23.10
15:48:09 | 27.66 | 224.11 | 23.12
15:48:25 | 27.92 | 223.85 | 23.16
15:48:42 | 27.85 | 223.91 | 23.19
15:48:59 | 27.94 | 223.83 | 23.21
15:49:16 | 27.94 | 223.82 | 23.24
15:49:32 | 27.89 | 223.87 | 23.26
15:49:49 | 27.87 | 223.90 | 23.28
15:50:06 | 27.82 | 223.95 | 23.32
15:50:23 | 27.90 | 223.87 | 23.35
15:50:40 | 27.93 | 223.84 | 23.37
15:50:56 | 28.00 | 223.76 | 23.40
15:51:13 | 28.03 | 223.74 | 23.42
15:51:30 | 28.03 | 223.74 | 23.44
15:51:47 | 27.97 | 223.80 | 23.46
15:52:04 | 28.04 | 223.73 | 23.48
15:52:21 | 28.03 | 223.74 | 23.51
15:52:38 | 28.02 | 223.75 | 23.51
15:52:55 | 28.15 | 223.62 | 23.54
15:53:12 | 28.22 | 223.55 | 23.57
15:53:29 | 28.25 | 223.52 | 23.61
15:53:46 | 28.25 | 223.52 | 23.63
15:54:03 | 28.29 | 223.48 | 23.66
15:54:20 | 28.34 | 223.43 | 23.67
15:54:37 | 28.44 | 223.33 | 23.71
15:54:54 | 28.46 | 223.31 | 23.73
15:55:11 | 28.47 | 223.29 | 23.76
15:55:28 | 28.64 | 223.13 | 23.79
15:55:46 | 28.65 | 223.12 | 23.81
15:56:03 | 28.68 | 223.09 | 23.83
15:56:20 | 28.59 | 223.17 | 23.85
15:56:37 | 28.38 | 223.39 | 23.88
15:56:54 | 28.38 | 223.39 | 23.90
15:57:11 | 28.50 | 223.27 | 23.92
15:57:28 | 28.50 | 223.26 | 23.95
15:57:46 | 28.66 | 223.11 | 23.97
15:58:03 | 28.58 | 223.19 | 24.00
15:58:20 | 28.57 | 223.20 | 24.00
15:58:37 | 28.70 | 223.07 | 24.05
15:58:55 | 28.74 | 223.02 | 24.07
15:59:12 | 28.67 | 223.10 | 24.10
15:59:29 | 28.57 | 223.19 | 24.10
15:59:46 | 28.68 | 223.09 | 24.15
16:00:04 | 28.73 | 223.04 | 24.16
16:00:21 | 28.82 | 222.95 | 24.18
16:00:38 | 28.84 | 222.93 | 24.20
16:00:56 | 28.75 | 223.02 | 24.25
16:01:13 | 28.75 | 223.01 | 24.27
16:01:31 | 28.81 | 222.95 | 24.28
16:01:48 | 28.81 | 222.96 | 24.30
16:02:05 | 28.85 | 222.92 | 24.34
16:02:23 | 28.96 | 222.81 | 24.37
16:02:40 | 28.86 | 222.91 | 24.37
16:02:57 | 28.98 | 222.78 | 24.41
16:03:15 | 29.02 | 222.74 | 24.44
16:03:32 | 29.18 | 222.59 | 24.46
16:03:50 | 29.16 | 222.61 | 24.47
16:04:07 | 29.13 | 222.64 | 24.51
16:04:25 | 29.29 | 222.48 | 24.54
16:04:42 | 29.28 | 222.49 | 24.56
16:05:00 | 29.28 | 222.48 | 24.59
16:05:17 | 29.37 | 222.40 | 24.61
16:05:35 | 29.55 | 222.22 | 24.64
16:05:52 | 29.45 | 222.32 | 24.66
16:06:10 | 29.34 | 222.43 | 24.71
16:06:27 | 29.36 | 222.40 | 24.74
16:06:45 | 29.57 | 222.19 | 24.76
16:07:03 | 29.56 | 222.20 | 24.79
16:07:20 | 29.63 | 222.14 | 24.81
16:07:38 | 29.54 | 222.23 | 24.84
16:07:56 | 29.75 | 222.02 | 24.86
16:08:14 | 29.71 | 222.06 | 24.88
16:08:31 | 29.81 | 221.96 | 24.91
16:08:49 | 29.80 | 221.96 | 24.91
16:09:07 | 29.95 | 221.82 | 24.95
16:09:25 | 29.93 | 221.83 | 24.97
16:09:42 | 29.96 | 221.80 | 25.01
16:10:00 | 29.97 | 221.79 | 25.04
16:10:18 | 29.91 | 221.85 | 25.06
16:10:36 | 30.02 | 221.75 | 25.08
16:10:54 | 30.04 | 221.73 | 25.11
16:11:12 | 30.16 | 221.60 | 25.14
16:11:30 | 30.10 | 221.67 | 25.14
16:11:47 | 30.06 | 221.70 | 25.18
16:12:05 | 29.98 | 221.79 | 25.21
16:12:23 | 29.92 | 221.85 | 25.21
16:12:41 | 29.96 | 221.81 | 25.26
16:12:59 | 29.99 | 221.77 | 25.28
16:13:17 | 30.02 | 221.75 | 25.30
16:13:35 | 30.09 | 221.68 | 25.34
16:13:53 | 30.04 | 221.73 | 25.36
16:14:11 | 30.15 | 221.61 | 25.38
16:14:29 | 30.15 | 221.62 | 25.41
16:14:48 | 30.11 | 221.66 | 25.43
16:15:05 | 30.04 | 221.73 | 25.45
16:15:24 | 30.07 | 221.70 | 25.48
16:15:42 | 30.08 | 221.69 | 25.50
16:16:00 | 30.27 | 221.50 | 25.53
16:16:18 | 30.27 | 221.50 | 25.56
16:16:36 | 30.15 | 221.62 | 25.58
16:16:54 | 30.28 | 221.48 | 25.62
16:17:13 | 30.33 | 221.43 | 25.61
16:17:31 | 30.16 | 221.61 | 25.64
16:17:49 | 30.17 | 221.60 | 25.67
16:18:07 | 30.31 | 221.46 | 25.70
16:18:25 | 30.38 | 221.39 | 25.72
16:18:44 | 30.47 | 221.29 | 25.74
16:19:02 | 30.51 | 221.26 | 25.77
16:19:20 | 30.61 | 221.15 | 25.79
16:19:39 | 30.46 | 221.31 | 25.82
16:19:57 | 30.57 | 221.20 | 25.84
16:20:16 | 30.57 | 221.20 | 25.87
16:20:34 | 30.75 | 221.02 | 25.90
16:20:53 | 30.76 | 221.01 | 25.92
16:21:11 | 30.88 | 220.89 | 25.94
16:21:29 | 30.87 | 220.90 | 25.95
16:21:48 | 31.03 | 220.74 | 25.98
16:22:06 | 30.96 | 220.81 | 26.01
16:22:25 | 31.07 | 220.70 | 26.03
16:22:43 | 31.20 | 220.57 | 26.05
16:23:02 | 31.12 | 220.65 | 26.08
16:23:20 | 31.12 | 220.65 | 26.11
16:23:39 | 31.10 | 220.67 | 26.13
16:23:57 | 31.12 | 220.65 | 26.16
16:24:16 | 31.16 | 220.61 | 26.18
16:24:34 | 31.09 | 220.68 | 26.21
16:24:53 | 31.19 | 220.58 | 26.23
16:25:12 | 31.30 | 220.47 | 26.26
16:25:30 | 31.39 | 220.37 | 26.28
16:25:48 | 31.32 | 220.45 | 26.31
16:26:07 | 31.45 | 220.32 | 26.33
16:26:26 | 31.38 | 220.39 | 26.36
16:26:44 | 31.48 | 220.28 | 26.38
16:27:03 | 31.49 | 220.27 | 26.41
16:27:22 | 31.45 | 220.31 | 26.43
16:27:41 | 31.32 | 220.44 | 26.46
16:27:59 | 31.44 | 220.32 | 26.48
16:28:18 | 31.46 | 220.31 | 26.51
