
--- INICIO MONITOREO VALIDACIÓN V16/V17 2026-03-11 08:02:20.640849 ---
Timestamp | System_Used(GB) | Free(GB) | Proc_RAM(GB)
08:02:20 | 15.94 | 235.83 | 0.43
08:02:36 | 22.80 | 228.96 | 19.66
08:02:52 | 20.78 | 230.98 | 17.51
08:03:07 | 19.26 | 232.51 | 15.99
08:03:23 | 19.25 | 232.52 | 16.02
08:03:38 | 19.31 | 232.46 | 15.98
08:03:54 | 19.35 | 232.42 | 16.02
08:04:09 | 19.45 | 232.32 | 15.99

--- INICIO MONITOREO VALIDACIÓN V16/V17 2026-03-16 12:45:07.979373 ---
Timestamp | System_Used(GB) | Free(GB) | Proc_RAM(GB)
12:45:08 | 16.57 | 235.19 | 0.43
12:45:23 | 19.38 | 232.39 | 15.83
12:45:39 | 19.31 | 232.46 | 15.84
12:45:54 | 19.47 | 232.30 | 15.84
12:46:09 | 19.52 | 232.25 | 15.86
12:46:25 | 19.69 | 232.08 | 15.86
12:46:40 | 19.72 | 232.05 | 15.87
12:46:55 | 19.75 | 232.02 | 15.88
12:47:11 | 19.88 | 231.89 | 15.92
12:47:26 | 19.93 | 231.84 | 15.93
12:47:42 | 20.27 | 231.50 | 15.95
12:47:57 | 20.20 | 231.56 | 15.96
12:48:13 | 20.22 | 231.55 | 15.96
12:48:28 | 20.13 | 231.64 | 15.96
12:48:44 | 20.16 | 231.60 | 15.96
12:48:59 | 20.10 | 231.67 | 15.97
12:49:15 | 20.12 | 231.64 | 15.99
12:49:30 | 20.29 | 231.48 | 16.00
12:49:46 | 20.31 | 231.46 | 16.02
12:50:02 | 20.43 | 231.34 | 16.04
12:50:17 | 20.28 | 231.48 | 16.06
12:50:33 | 20.28 | 231.49 | 16.08
12:50:49 | 20.44 | 231.33 | 16.10
12:51:04 | 20.57 | 231.20 | 16.12
12:51:20 | 20.79 | 230.98 | 16.15
12:51:36 | 20.78 | 230.98 | 16.17
12:51:51 | 20.68 | 231.08 | 16.19
12:52:07 | 20.83 | 230.94 | 16.21
12:52:23 | 20.96 | 230.81 | 16.24
12:52:39 | 20.91 | 230.86 | 16.27
12:52:54 | 20.97 | 230.80 | 16.29
12:53:10 | 20.90 | 230.86 | 16.32
12:53:26 | 21.17 | 230.60 | 16.34
12:53:42 | 20.99 | 230.77 | 16.36
12:53:58 | 21.16 | 230.60 | 16.39
12:54:13 | 21.17 | 230.59 | 16.41
12:54:29 | 21.30 | 230.46 | 16.44
12:54:45 | 21.14 | 230.63 | 16.46
12:55:01 | 21.15 | 230.62 | 16.48
12:55:17 | 21.28 | 230.48 | 16.51
12:55:33 | 21.18 | 230.59 | 16.54
12:55:48 | 21.11 | 230.66 | 16.56
12:56:04 | 21.02 | 230.75 | 16.58
12:56:20 | 20.94 | 230.83 | 16.60
12:56:36 | 20.97 | 230.80 | 16.63
12:56:52 | 21.10 | 230.67 | 16.66
12:57:08 | 21.08 | 230.69 | 16.68
12:57:24 | 17.98 | 233.79 | 16.70
12:57:40 | 18.39 | 233.37 | 16.72
12:57:56 | 18.47 | 233.29 | 16.74
12:58:12 | 18.61 | 233.16 | 16.77
12:58:29 | 18.83 | 232.94 | 16.80
12:58:45 | 18.90 | 232.87 | 16.82
12:59:01 | 18.83 | 232.93 | 16.84
12:59:17 | 18.91 | 232.86 | 16.86
12:59:33 | 18.99 | 232.78 | 16.89
12:59:49 | 19.04 | 232.73 | 16.90
13:00:05 | 18.97 | 232.79 | 16.94
13:00:21 | 19.30 | 232.47 | 16.96
13:00:37 | 19.13 | 232.64 | 16.98
13:00:54 | 19.37 | 232.39 | 17.00
13:01:10 | 19.43 | 232.34 | 17.03
13:01:26 | 19.56 | 232.21 | 17.05
13:01:42 | 19.43 | 232.33 | 17.08
13:01:59 | 19.52 | 232.24 | 17.11
13:02:15 | 19.64 | 232.13 | 17.13
13:02:31 | 19.61 | 232.16 | 17.15
13:02:48 | 19.81 | 231.96 | 17.18
13:03:04 | 19.91 | 231.86 | 17.20
13:03:20 | 20.10 | 231.67 | 17.22
13:03:36 | 20.18 | 231.58 | 17.24
13:03:53 | 20.18 | 231.59 | 17.27
13:04:09 | 20.33 | 231.44 | 17.30
13:04:25 | 20.41 | 231.35 | 17.32
13:04:42 | 20.39 | 231.38 | 17.35
13:04:58 | 20.42 | 231.34 | 17.37
13:05:15 | 20.63 | 231.14 | 17.39
13:05:31 | 20.68 | 231.09 | 17.41
13:05:48 | 20.74 | 231.02 | 17.43
13:06:04 | 21.13 | 230.64 | 17.45
13:06:20 | 21.15 | 230.62 | 17.49
13:06:37 | 21.15 | 230.62 | 17.52
13:06:54 | 21.28 | 230.48 | 17.54
13:07:10 | 21.61 | 230.16 | 17.56
13:07:27 | 21.56 | 230.21 | 17.58
13:07:43 | 21.58 | 230.19 | 17.61
13:08:00 | 21.68 | 230.08 | 17.63
13:08:16 | 21.75 | 230.02 | 17.65
13:08:33 | 21.93 | 229.84 | 17.67
13:08:50 | 22.01 | 229.76 | 17.70
13:09:06 | 22.23 | 229.53 | 17.72
13:09:23 | 22.21 | 229.56 | 17.76
13:09:39 | 22.36 | 229.40 | 17.78
13:09:56 | 22.38 | 229.38 | 17.80
13:10:13 | 22.55 | 229.21 | 17.83
13:10:29 | 22.33 | 229.44 | 17.85
13:10:46 | 22.31 | 229.46 | 17.86
13:11:03 | 22.44 | 229.33 | 17.88
13:11:19 | 22.39 | 229.38 | 17.91
13:11:36 | 22.55 | 229.22 | 17.93
13:11:53 | 22.66 | 229.10 | 17.96
13:12:10 | 22.81 | 228.96 | 17.98
13:12:27 | 22.72 | 229.05 | 18.02
13:12:43 | 22.45 | 229.32 | 18.04
13:13:00 | 22.57 | 229.20 | 18.07
13:13:17 | 22.53 | 229.24 | 18.09
13:13:34 | 22.66 | 229.11 | 18.11
13:13:51 | 22.55 | 229.21 | 18.14
13:14:08 | 22.81 | 228.96 | 18.16
13:14:25 | 22.81 | 228.96 | 18.18
13:14:42 | 22.96 | 228.80 | 18.20
13:14:59 | 22.79 | 228.98 | 18.23
13:15:16 | 23.06 | 228.71 | 18.25
13:15:32 | 22.98 | 228.79 | 18.27
13:15:49 | 22.85 | 228.92 | 18.28
13:16:07 | 22.90 | 228.87 | 18.31
13:16:24 | 23.02 | 228.75 | 18.34
13:16:40 | 23.10 | 228.67 | 18.36
13:16:58 | 23.10 | 228.67 | 18.38
13:17:15 | 23.17 | 228.59 | 18.41
13:17:32 | 23.35 | 228.42 | 18.43
13:17:49 | 23.42 | 228.35 | 18.46
13:18:06 | 23.43 | 228.34 | 18.48
13:18:23 | 23.33 | 228.44 | 18.50
13:18:40 | 23.50 | 228.27 | 18.53
13:18:57 | 23.38 | 228.39 | 18.55
13:19:14 | 23.40 | 228.36 | 18.58
13:19:31 | 23.40 | 228.36 | 18.60
13:19:49 | 23.53 | 228.24 | 18.63
13:20:06 | 23.49 | 228.28 | 18.65
13:20:23 | 23.48 | 228.29 | 18.68
13:20:40 | 23.36 | 228.40 | 18.70
13:20:57 | 23.63 | 228.13 | 18.72
13:21:15 | 23.48 | 228.29 | 18.75
13:21:32 | 23.49 | 228.28 | 18.77
13:21:49 | 23.65 | 228.11 | 18.80
13:22:07 | 23.68 | 228.08 | 18.82
13:22:24 | 23.71 | 228.06 | 18.84
13:22:41 | 23.70 | 228.07 | 18.87
