epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1584,3.6499,4.25134,12.0094,0.00542,11.6107,3e-05,0.0013,1e-05,1e-05,3e-05,0.0013,1e-05,1e-05,3.57095,4.06173,9.10589,0.00575,0,0.0005,0.0005,0.0955
2,42.173,4.47827,5.53302,23.0335,0.00688,13.8834,4e-05,0.00194,2e-05,1e-05,4e-05,0.00194,2e-05,1e-05,3.54283,4.11387,9.34756,0.00575,0,0.00108911,0.00108911,0.0900891
3,61.5555,4.33284,5.83843,16.479,0.00556,11.4914,0.00145,0.04404,0.00101,0.00024,0.00015,0.00453,7e-05,1e-05,4.31764,474.047,3.87591,0.00501,0,0.00166634,0.00166634,0.0846663
4,84.3258,3.90375,5.91855,3.81065,0.00449,3.71567,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00223169,0.00223169,0.0792317
5,103.886,4.09224,4.8953,3.96404,0.00428,1.82218,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00278516,0.00278516,0.0737852
6,124.482,3.52777,4.35263,2.80717,0.00338,1.62079,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00332675,0.00332675,0.0683268
7,143.195,4.27649,4.68365,2.96576,0.00396,1.60078,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00385646,0.00385646,0.0628565
8,163.159,3.69336,3.97841,2.50118,0.0038,1.96746,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00437429,0.00437429,0.0573743
9,183.108,3.78774,4.18308,2.55798,0.00383,2.07415,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00488024,0.00488024,0.0518802
10,201.862,3.96719,4.6242,2.62667,0.00376,2.3304,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00537431,0.00537431,0.0463743
11,224.144,3.79225,4.66481,2.47859,0.00376,2.17772,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0058565,0.0058565,0.0408565
12,244.519,3.81521,4.67201,2.75855,0.00436,2.29161,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00632681,0.00632681,0.0353268
13,264.051,3.69851,4.46461,2.54196,0.00372,1.87404,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00678524,0.00678524,0.0297852
14,286.259,3.63204,4.20749,2.7673,0.00391,2.0655,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00723179,0.00723179,0.0242318
15,305.071,2.96069,3.46556,2.72429,0.00303,1.70787,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00766646,0.00766646,0.0186665
16,325.51,3.91255,4.35165,2.47353,0.00384,2.28178,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00808925,0.00808925,0.0130892
17,345.515,3.19804,3.36215,2.42791,0.0029,1.62053,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.008416,0.008416,0.008416
18,364.654,3.81796,4.29635,2.90153,0.00368,2.48591,0.0055,0.00259,0.00076,0.00019,0.00038,0.00065,9e-05,1e-05,nan,nan,nan,nan,0,0.008317,0.008317,0.008317
19,385.001,3.81568,4.12871,3.0617,0.00446,1.51987,0.02086,0.03497,0.0059,0.00142,0.00764,0.01231,0.00106,0.00028,nan,nan,nan,nan,0,0.008218,0.008218,0.008218
20,405.151,3.62753,3.70609,2.43663,0.0035,1.76121,0.03837,0.06865,0.00979,0.00228,0.03053,0.06218,0.00613,0.00136,nan,nan,nan,nan,0,0.008119,0.008119,0.008119
21,427.328,3.32716,3.5535,2.33994,0.00327,1.55807,0.15359,0.07192,0.03393,0.00798,0.14543,0.06865,0.02205,0.00497,3.4452,nan,nan,0.00385,0,0.00802,0.00802,0.00802
22,448.866,3.68307,3.78483,2.58472,0.00333,2.15491,0.00219,0.00324,0.0004,0.00017,0.00131,0.00194,0.00023,0.00018,4.46853,nan,nan,0.00491,0,0.007921,0.007921,0.007921
23,471.132,3.62246,3.81392,2.84006,0.00392,1.84475,0.0008,0.00194,0.00052,9e-05,0,0,0,0,4.51349,nan,nan,0.00459,0,0.007822,0.007822,0.007822
24,494.587,3.55745,4.16447,2.54771,0.00387,1.87669,0.02065,0.03756,0.01381,0.00327,0.01495,0.0272,0.01028,0.00432,4.21146,nan,nan,0.00432,0,0.007723,0.007723,0.007723
25,517.962,3.6486,3.89822,2.35627,0.00377,1.75029,0.00255,0.02785,0.00213,0.00046,0.00238,0.02591,0.00202,0.00088,4.32229,5.2904,3.47362,0.00431,0,0.007624,0.007624,0.007624
26,543.13,3.94983,4.39874,2.53573,0.00349,1.77076,0.06174,0.14054,0.02391,0.00483,0.04488,0.12306,0.01658,0.0044,3.53912,3.38832,4.09387,0.00397,0,0.007525,0.007525,0.007525
27,564.242,3.60856,3.95514,2.95021,0.00379,1.5715,0.14344,0.18394,0.0658,0.01322,0.18458,0.22215,0.09701,0.02322,3.33084,nan,nan,0.00398,0,0.007426,0.007426,0.007426
28,587.258,3.17862,3.28268,2.4041,0.00336,1.49447,0.12419,0.22927,0.06886,0.01649,0.1539,0.27785,0.09416,0.02609,3.17316,3.54166,2.31325,0.00369,0,0.007327,0.007327,0.007327
29,607.633,3.49305,3.82003,2.40405,0.00372,2.05393,0.17069,0.21049,0.08399,0.01885,0.15424,0.19572,0.07109,0.01577,3.18433,3.66197,4.09572,0.00382,0,0.007228,0.007228,0.007228
30,627.977,3.67315,3.93216,2.54177,0.00384,1.53205,0.20098,0.24676,0.1186,0.02816,0.21074,0.28692,0.14385,0.03518,nan,nan,nan,nan,0,0.007129,0.007129,0.007129
31,650.36,3.68488,3.90706,3.55812,0.00411,1.68849,0.04844,0.0272,0.01351,0.00388,0.02222,0.02267,0.009,0.00353,nan,nan,nan,nan,0,0.00703,0.00703,0.00703
32,669.768,2.82376,3.09587,2.45028,0.00319,1.72553,0.00047,0.0013,0.00023,9e-05,0.02655,0.00065,0.00285,0.0016,nan,nan,nan,nan,0,0.006931,0.006931,0.006931
