epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,39.831,3.75648,5.74538,37.7728,0.00273,13.4148,0.00921,0.41192,0.01788,0.00437,0.00198,0.08873,0.00176,0.00041,4.07011,8.90788,5.34744,0.00325,0,0.00021,0.00021,0.07921
2,78.7845,4.832,6.63789,6.55924,0.00326,6.82295,0.13042,0.52785,0.17481,0.04831,0.08497,0.34391,0.0712,0.01995,3.95334,7.08752,4.64263,0.0031,0,0.000429953,0.000429953,0.05743
3,109.792,5.17021,6.41815,4.15943,0.00301,4.83304,0.10171,0.63666,0.18537,0.05373,0.09126,0.57124,0.12915,0.03753,4.01221,6.21532,3.86224,0.00311,0,0.000649718,0.000649718,0.0356497
4,139.849,4.12207,5.2027,3.66892,0.00268,2.87845,0.31295,0.40269,0.25247,0.06832,0.23353,0.3342,0.17079,0.04398,3.95557,4.84869,3.09852,0.00298,0,0.00086915,0.00086915,0.0138692
5,165.84,4.46595,5.79994,3.81437,0.00265,2.81107,0.33578,0.38212,0.26602,0.0731,0.28171,0.3206,0.19406,0.04543,3.96238,5.1631,3.4276,0.00306,0,0.000998264,0.000998264,0.000998264
6,193.089,4.90944,5.68671,3.56649,0.00288,2.20926,0.35032,0.37306,0.26423,0.07122,0.30582,0.33873,0.22506,0.06124,3.88273,nan,nan,0.00308,0,0.000997288,0.000997288,0.000997288
7,221.756,4.32694,4.72679,3.27591,0.00253,2.51764,0.3302,0.45984,0.26837,0.0732,0.27273,0.41321,0.19837,0.0478,3.90709,nan,nan,0.00297,0,0.000996097,0.000996097,0.000996097
8,249.055,5.2399,6.23928,3.26707,0.00317,2.56714,0.33547,0.43135,0.28229,0.07824,0.28035,0.39663,0.20566,0.05538,3.86849,nan,nan,0.00294,0,0.00099469,0.00099469,0.00099469
9,277.957,5.49266,6.32336,3.60961,0.00283,3.09456,0.33105,0.39443,0.25831,0.07348,0.27679,0.35363,0.19838,0.05082,3.82568,nan,nan,0.00293,0,0.000993068,0.000993068,0.000993068
10,307.099,4.58748,5.03799,3.85114,0.00288,2.38541,0.37712,0.47215,0.30617,0.08254,0.3573,0.45007,0.27716,0.06954,3.85577,4.43167,2.79162,0.00302,0,0.000991232,0.000991232,0.000991232
11,338.061,4.94216,5.33256,3.63607,0.00324,3.11253,0.42814,0.44125,0.34975,0.1015,0.38191,0.39637,0.29565,0.07404,3.76451,nan,nan,0.00287,0,0.000989183,0.000989183,0.000989183
12,367.061,4.19999,4.44208,3.43807,0.00279,2.13567,0.35294,0.47474,0.27639,0.0743,0.26624,0.40479,0.18513,0.04537,3.87887,nan,nan,0.00293,0,0.000986922,0.000986922,0.000986922
13,395.534,5.41113,5.91535,3.18117,0.00261,2.77165,0.36756,0.42681,0.28594,0.07543,0.2953,0.38277,0.20675,0.05,3.87616,4.27574,2.74745,0.00297,0,0.000984449,0.000984449,0.000984449
14,424.069,4.23355,4.70022,2.87834,0.00223,2.17374,0.36138,0.44236,0.31335,0.08947,0.36809,0.4248,0.30285,0.08135,3.77274,4.32667,2.62309,0.00294,0,0.000981765,0.000981765,0.000981765
15,452.971,3.35797,4.27177,3.00702,0.00168,1.77684,0.35702,0.45671,0.30223,0.08127,0.3693,0.44106,0.32258,0.0872,3.86595,nan,nan,0.00298,0,0.000978873,0.000978873,0.000978873
16,482.426,5.33074,6.21173,3.52739,0.00334,2.60807,0.37292,0.4443,0.31836,0.09035,0.34783,0.42098,0.2972,0.08644,3.68292,4.13109,2.79635,0.00277,0,0.000975773,0.000975773,0.000975773
17,510.295,4.50701,4.74221,3.68071,0.0027,2.44145,0.39522,0.46438,0.3339,0.09332,0.35443,0.41645,0.28643,0.07095,3.69042,4.2203,2.62313,0.00285,0,0.000972466,0.000972466,0.000972466
18,539.312,4.7477,5.02947,3.44272,0.00251,2.65739,0.39527,0.46891,0.35513,0.10148,0.34247,0.42617,0.28177,0.07103,3.71589,nan,nan,0.00282,0,0.000968955,0.000968955,0.000968955
19,567.721,4.32162,5.22842,3.28872,0.0022,2.63574,0.42825,0.47539,0.36995,0.11038,0.38643,0.44495,0.32856,0.09339,3.65274,nan,nan,0.00273,0,0.000965239,0.000965239,0.000965239
20,596.411,4.90967,5.36475,3.74172,0.00292,3.09352,0.41885,0.47733,0.3628,0.10521,0.35933,0.46932,0.30756,0.08028,3.62686,4.13218,2.91917,0.00273,0,0.000961322,0.000961322,0.000961322
21,623.912,4.68173,5.69321,3.35744,0.0028,2.75441,0.3837,0.47733,0.33013,0.09237,0.32732,0.4443,0.25353,0.07388,3.79614,4.24913,2.59691,0.00285,0,0.000957205,0.000957205,0.000957205
22,651.976,4.96011,5.66165,3.38306,0.00278,2.87322,0.36118,0.48834,0.29817,0.08106,0.35878,0.4851,0.29459,0.07598,3.75568,4.23845,2.72696,0.0029,0,0.000952889,0.000952889,0.000952889
23,681.405,4.62705,5.35155,3.1888,0.00299,2.75761,0.41509,0.48031,0.35412,0.10194,0.30545,0.45078,0.24081,0.06972,3.66853,4.20106,2.52914,0.00275,0,0.000948377,0.000948377,0.000948377
24,708.854,4.25667,5.28856,3.03148,0.0026,2.08195,0.41694,0.49557,0.37229,0.10707,0.36733,0.46291,0.29661,0.07431,3.65002,4.22069,2.40031,0.00277,0,0.000943671,0.000943671,0.000943671
25,737.349,4.01081,4.36693,2.79431,0.0022,1.70974,0.3619,0.50948,0.32673,0.09158,0.32027,0.48575,0.25451,0.07301,3.69362,4.24745,2.48738,0.0028,0,0.000938772,0.000938772,0.000938772
26,767.672,3.59944,4.32652,3.2547,0.00237,2.00091,0.40264,0.49158,0.35286,0.10055,0.37382,0.46049,0.31077,0.08246,3.72317,4.12514,2.41651,0.00285,0,0.000933683,0.000933683,0.000933683
27,797.946,4.90511,5.33905,3.60282,0.00273,2.38895,0.40268,0.45725,0.36971,0.11395,0.33358,0.40415,0.28156,0.07796,3.65372,4.16498,2.50972,0.00271,0,0.000928405,0.000928405,0.000928405
28,825.523,4.65729,4.87338,2.99644,0.00225,2.01243,0.42757,0.48705,0.38367,0.10818,0.35041,0.45596,0.29752,0.08114,3.70814,4.15581,3.10959,0.00276,0,0.000922942,0.000922942,0.000922942
29,855.677,3.69636,4.04534,2.8446,0.00217,2.05914,0.39463,0.45893,0.33435,0.09301,0.28117,0.37544,0.2025,0.05466,3.67542,4.16907,2.64702,0.00272,0,0.000917296,0.000917296,0.000917296
30,883.761,4.49502,4.95099,3.69839,0.00255,2.1471,0.44564,0.46697,0.38948,0.11074,0.31314,0.39443,0.24225,0.06388,3.61217,4.0545,2.56975,0.00267,0,0.000911469,0.000911469,0.000911469
31,914.305,5.08505,5.42838,4.07109,0.00311,2.52679,0.45564,0.49821,0.4077,0.11826,0.44283,0.46328,0.3626,0.10021,3.61517,4.08144,2.46619,0.00275,0,0.000905463,0.000905463,0.000905463
32,943.781,4.31995,4.74598,3.06007,0.00263,1.94759,0.4151,0.51619,0.36794,0.10534,0.39012,0.49158,0.32587,0.08412,3.59876,4.0828,2.38272,0.00275,0,0.000899282,0.000899282,0.000899282
33,973.431,4.57428,4.91138,2.77064,0.00235,2.26139,0.43581,0.51166,0.38013,0.1102,0.38668,0.48964,0.31418,0.08395,3.57371,4.07338,2.39776,0.0027,0,0.000892928,0.000892928,0.000892928
34,1001.39,4.40476,5.33697,3.06737,0.00239,1.78395,0.42304,0.50324,0.38309,0.10872,0.35677,0.47167,0.29121,0.07532,3.62078,3.94797,2.63592,0.00272,0,0.000886404,0.000886404,0.000886404
35,1029.3,3.62839,4.04071,3.1115,0.00174,1.69755,0.40952,0.48769,0.35658,0.10286,0.32662,0.46179,0.26094,0.06612,3.617,4.0251,2.51295,0.00272,0,0.000879713,0.000879713,0.000879713
36,1056.97,4.0024,4.45586,2.50093,0.00205,2.18347,0.39576,0.49547,0.35548,0.1044,0.33878,0.47668,0.27103,0.07334,3.57724,4.01235,2.4066,0.0027,0,0.000872857,0.000872857,0.000872857
37,1086.95,4.50375,4.97249,3.22765,0.00286,2.1203,0.44031,0.47992,0.38526,0.1077,0.34775,0.42163,0.26246,0.06774,3.64258,nan,nan,0.00271,0,0.000865839,0.000865839,0.000865839
38,1115.57,3.93698,4.12645,3.13932,0.00237,2.15578,0.4509,0.50712,0.38335,0.11129,0.35234,0.43718,0.27046,0.06441,3.64426,nan,nan,0.00271,0,0.000858664,0.000858664,0.000858664
39,1143.63,4.12627,4.04472,2.72144,0.00216,2.09058,0.44443,0.49482,0.37864,0.11281,0.39703,0.4883,0.3347,0.08743,3.60623,nan,nan,0.00267,0,0.000851333,0.000851333,0.000851333
40,1175.04,4.21883,4.45857,2.81127,0.00248,1.84491,0.4493,0.50389,0.39065,0.11448,0.35141,0.43199,0.28348,0.07566,3.55657,nan,nan,0.00263,0,0.000843851,0.000843851,0.000843851
41,1206.12,4.67597,4.92232,3.12238,0.00289,2.05391,0.45466,0.51878,0.41145,0.12392,0.37732,0.43054,0.30759,0.08209,3.54704,3.97886,2.33619,0.00263,0,0.00083622,0.00083622,0.00083622
42,1236.24,4.81778,5.54482,3.10899,0.00245,2.36354,0.46461,0.52383,0.40628,0.11665,0.3571,0.4443,0.28295,0.08163,3.55321,3.89899,2.25572,0.00261,0,0.000828443,0.000828443,0.000828443
43,1266.14,4.64334,4.79978,3.11383,0.00266,2.28378,0.41504,0.53368,0.38306,0.11161,0.43239,0.53433,0.40846,0.12028,3.52676,3.83845,2.30099,0.00269,0,0.000820525,0.000820525,0.000820525
44,1295.62,4.34972,4.8134,2.76258,0.00212,2.30914,0.45377,0.53105,0.41189,0.12423,0.36367,0.47897,0.31734,0.09063,3.51732,3.85807,2.14448,0.00264,0,0.000812468,0.000812468,0.000812468
45,1325.15,4.54406,5.53137,2.73786,0.00227,2.36419,0.46675,0.50194,0.41075,0.11991,0.33544,0.44365,0.27084,0.07043,3.59765,nan,nan,0.0027,0,0.000804277,0.000804277,0.000804277
46,1354.46,4.40867,4.61159,2.58119,0.00221,2.16492,0.46749,0.5123,0.41596,0.12802,0.41057,0.4864,0.34651,0.09424,3.55326,nan,nan,0.00268,0,0.000795954,0.000795954,0.000795954
