epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7554,5.23674,7.86665,54.2311,0.00372,16.9814,0.00107,0.01231,0.00054,0.00015,6e-05,0.00065,3e-05,1e-05,7.20624,15.2314,9.36872,0.00585,0,9.54545e-06,9.54545e-06,0.0904641
2,62.9289,7.27409,9.8463,9.88998,0.00495,8.44,0.10279,0.53303,0.1567,0.0439,0.03622,0.18782,0.03218,0.00855,5.76094,12.5073,6.56134,0.0044,0,1.95433e-05,1.95433e-05,0.0804741
3,92.3003,7.07715,8.3643,6.83274,0.00397,5.99871,0.07039,0.64313,0.14527,0.04032,0.03736,0.34132,0.04533,0.01284,5.44737,11.3497,5.87897,0.00401,0,2.95326e-05,2.95326e-05,0.0704841
4,119.56,5.82013,7.33928,6.1014,0.00375,3.54926,0.06526,0.71049,0.14342,0.04212,0.05985,0.65155,0.11676,0.0331,5.16295,7.11647,5.53896,0.00378,0,3.95068e-05,3.95068e-05,0.0604941
5,146.786,5.60105,7.7824,5.46773,0.00321,4.06462,0.21957,0.33938,0.17876,0.05226,0.19758,0.37565,0.17286,0.0461,5.21488,6.11962,5.03106,0.0039,0,4.94594e-05,4.94594e-05,0.050504
6,173.488,6.51555,7.68138,5.67188,0.00355,3.49447,0.27172,0.23316,0.18318,0.05218,0.23624,0.20272,0.15804,0.04171,5.01378,5.88647,5.00858,0.00364,0,5.9384e-05,5.9384e-05,0.0405139
7,200.103,5.76692,6.58535,5.43728,0.00321,3.66218,0.28976,0.36399,0.22995,0.06788,0.283,0.34197,0.2231,0.05886,4.99257,5.7382,4.58135,0.0036,0,6.9274e-05,6.9274e-05,0.0305238
8,228.038,6.90031,8.65003,5.5816,0.00374,4.06677,0.34326,0.39313,0.27802,0.07922,0.31391,0.38666,0.25189,0.07137,5.09421,5.82493,4.75112,0.00376,0,7.91231e-05,7.91231e-05,0.0205337
9,255.216,7.35673,8.9978,5.85656,0.00361,3.81647,0.35679,0.38585,0.29374,0.08269,0.3151,0.37435,0.24711,0.0687,5.0557,5.67115,4.41222,0.0037,0,8.89247e-05,8.89247e-05,0.0105435
10,284.659,6.04665,6.8697,5.83336,0.0036,3.03752,0.36184,0.40469,0.29471,0.08154,0.31512,0.36205,0.24197,0.06088,5.00362,5.76269,4.40404,0.00362,0,9.86727e-05,9.86727e-05,0.000553218
11,312.454,6.40872,6.95419,5.92303,0.00388,4.33051,0.36813,0.40933,0.30523,0.08499,0.3278,0.3763,0.25867,0.06771,4.97559,5.65238,4.32628,0.00361,0,9.89183e-05,9.89183e-05,9.89183e-05
12,338.032,5.27865,6.02991,5.33197,0.00313,2.80039,0.3862,0.44689,0.33221,0.09324,0.35924,0.38342,0.27909,0.0734,4.98289,5.66533,4.45129,0.00364,0,9.86922e-05,9.86922e-05,9.86922e-05
13,363.844,6.97697,7.84772,5.02618,0.00318,3.55568,0.38373,0.4171,0.32491,0.09365,0.34794,0.3614,0.26427,0.06878,4.89353,5.74865,4.34758,0.00353,0,9.84449e-05,9.84449e-05,9.84449e-05
14,390.571,5.54597,5.81836,5.19236,0.00268,3.45058,0.37759,0.42552,0.32548,0.09482,0.34862,0.38754,0.26329,0.06844,4.87863,5.69334,4.33145,0.00353,0,9.81765e-05,9.81765e-05,9.81765e-05
15,417.248,4.38853,5.56163,5.08388,0.00196,2.23966,0.38288,0.45984,0.33007,0.09435,0.32979,0.40285,0.25206,0.06755,4.87405,5.49412,4.3035,0.0035,0,9.78873e-05,9.78873e-05,9.78873e-05
16,443.276,6.63035,8.12729,5.63141,0.00367,3.56843,0.37907,0.46023,0.32655,0.0927,0.34506,0.42358,0.27403,0.07449,4.86075,5.3488,4.15699,0.0035,0,9.75773e-05,9.75773e-05,9.75773e-05
17,468.188,5.95178,6.11595,5.38847,0.00334,3.55186,0.39669,0.43005,0.33544,0.09362,0.34401,0.40868,0.27604,0.07631,4.87216,5.30081,4.20729,0.00355,0,9.72466e-05,9.72466e-05,9.72466e-05
