epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5416.65,5.14011,11.0904,1.64505,0.0042,4.47573,0.54432,0.35789,0.38768,0.25505,0.38493,0.21196,0.20201,0.1112,4.25087,10.882,1.31828,0.00394,0,0.00999745,0.00333248,0.00999745,0.00333248,0.0766726,0.0700077,0.00999745,0.00333248
2,10627.5,4.94585,10.4736,1.4112,0.00399,3.75701,0.58157,0.37252,0.41104,0.26996,0.41566,0.22003,0.21514,0.11708,4.24392,10.7129,1.29157,0.00387,0,0.0197995,0.00659982,0.0197995,0.00659982,0.0531413,0.0399417,0.0197995,0.00659982
3,15342.2,4.97757,10.4122,1.40292,0.00411,3.72638,0.60396,0.38324,0.4277,0.2855,0.42533,0.2279,0.22429,0.12371,4.11088,10.5501,1.25197,0.00367,0,0.0294035,0.00980117,0.0294035,0.00980117,0.029412,0.00980968,0.0294035,0.00980117
4,19535.4,4.9421,10.3254,1.38128,0.00404,3.62877,0.61219,0.38606,0.43321,0.29147,0.42967,0.23331,0.23057,0.12781,4.05052,10.4298,1.23016,0.00359,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,23723.7,4.8627,10.2197,1.35823,0.00393,3.56464,0.61705,0.38956,0.43874,0.29668,0.43758,0.23356,0.23217,0.12894,4.00828,10.3865,1.21616,0.00349,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,27869,4.83652,10.1602,1.34621,0.00386,3.5515,0.62391,0.39252,0.44228,0.30036,0.43734,0.23739,0.23374,0.12994,3.97495,10.3429,1.20566,0.00344,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,32047.9,4.81539,10.1041,1.33685,0.00382,3.49171,0.62095,0.39498,0.4446,0.30246,0.43905,0.23876,0.23605,0.13133,3.96041,10.311,1.20047,0.00341,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,36208.7,4.79535,10.0763,1.33201,0.0038,3.50109,0.62321,0.39604,0.44593,0.30368,0.44281,0.23965,0.23794,0.1326,3.94789,10.304,1.19764,0.0034,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,40365.8,4.77643,10.0515,1.32496,0.00376,3.47559,0.62593,0.39553,0.44691,0.30468,0.43898,0.24231,0.23935,0.13332,3.93634,10.2856,1.19469,0.00338,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,44509.4,4.76874,10.0334,1.327,0.00378,3.41302,0.62933,0.39513,0.4475,0.30533,0.44057,0.24286,0.2401,0.13347,3.92787,10.2719,1.19289,0.00337,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,48608.6,4.75469,10.007,1.31755,0.00374,3.40583,0.63159,0.39523,0.44824,0.30615,0.44391,0.24287,0.24079,0.13376,3.9199,10.2484,1.19155,0.00336,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,52744.6,4.7515,9.98408,1.31709,0.00373,3.40497,0.63157,0.39539,0.44864,0.30669,0.44578,0.24202,0.24164,0.1345,3.91217,10.2419,1.19135,0.00335,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,56847.5,4.76714,10.0328,1.32129,0.00377,3.44112,0.6327,0.39549,0.44901,0.30722,0.44735,0.24225,0.2417,0.13472,3.90646,10.2353,1.19,0.00335,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,60969.5,4.7487,9.99967,1.31478,0.00373,3.39726,0.63578,0.39583,0.4498,0.3079,0.44685,0.24323,0.24255,0.13505,3.90042,10.2218,1.18865,0.00334,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,65113.5,4.74096,9.97646,1.31294,0.00373,3.38447,0.63806,0.39578,0.45031,0.30839,0.44737,0.24286,0.24288,0.13531,3.8969,10.2078,1.18736,0.00334,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,69239.3,4.73247,9.95545,1.31043,0.00371,3.37936,0.63893,0.39589,0.4505,0.30881,0.44602,0.24359,0.24296,0.13529,3.8948,10.1961,1.18643,0.00333,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,73368,4.7311,9.96676,1.30996,0.00372,3.38532,0.63959,0.39577,0.45078,0.30913,0.44854,0.24309,0.24272,0.13546,3.89226,10.1833,1.18561,0.00333,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
