epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3545.58,1.31302,3.20785,1.17792,1.09659,0,0.38297,0.25871,0.25754,0.14035,0.29261,0.14063,0.13499,0.06435,1.46244,3.59703,1.33839,1.18017,0,0.00333197,0.00333197,0.0700123
2,7095.03,1.23793,3.07784,1.04214,1.06487,0,0.4861,0.28753,0.30727,0.18056,0.38404,0.17203,0.17805,0.09334,1.15587,3.13215,1.17119,1.03864,0,0.00659932,0.00659932,0.0399463
3,10689.6,1.19931,3.01532,1.00283,1.04813,0,0.49744,0.33196,0.3485,0.21014,0.37846,0.18225,0.18112,0.0972,1.08945,2.99463,0.95318,0.99955,0,0.00980066,0.00980066,0.00981429
4,14185.1,1.15691,2.95495,0.96323,1.03006,0,0.53497,0.3474,0.37566,0.22897,0.39958,0.19467,0.19359,0.10381,1.03619,2.91924,0.89314,0.97486,0,0.009703,0.009703,0.009703
5,17749.3,1.128,2.90515,0.93623,1.01793,0,0.55205,0.35714,0.38515,0.23562,0.39487,0.20551,0.20282,0.10839,1.009,2.89066,0.86905,0.96575,0,0.009604,0.009604,0.009604
6,21300.4,1.10575,2.87487,0.91906,1.01091,0,0.5594,0.36073,0.39164,0.24133,0.37756,0.17787,0.17569,0.08991,0.99632,3.15602,0.8546,0.96069,0,0.009505,0.009505,0.009505
7,24834.7,1.09339,2.85395,0.9089,1.00486,0,0.56096,0.36326,0.39546,0.24442,0.26255,0.13702,0.11796,0.05312,0.98818,3.95364,0.84936,0.9575,0,0.009406,0.009406,0.009406
8,28300.6,1.08164,2.83625,0.89651,0.99967,0,0.56562,0.36505,0.39841,0.24704,0.24436,0.12596,0.10676,0.04716,0.98326,4.1451,0.84776,0.95513,0,0.009307,0.009307,0.009307
9,31837.7,1.07375,2.82355,0.89104,0.99674,0,0.56832,0.36391,0.39981,0.24872,0.1903,0.10486,0.08514,0.03716,0.98053,4.41342,0.85004,0.95361,0,0.009208,0.009208,0.009208
10,35327.4,1.06492,2.80899,0.88445,0.99358,0,0.57026,0.36237,0.3998,0.24958,0.16261,0.09847,0.07338,0.02983,0.97832,4.52748,0.85608,0.95259,0,0.009109,0.009109,0.009109
11,38886.1,1.06017,2.7986,0.87958,0.99182,0,0.57298,0.36039,0.39967,0.25049,0.11937,0.08668,0.06009,0.02457,0.97681,5.06811,0.86489,0.95145,0,0.00901,0.00901,0.00901
12,42374.2,1.05805,2.79667,0.87649,0.99033,0,0.57486,0.35782,0.39899,0.25084,0.08332,0.06463,0.04105,0.01582,0.97522,5.36801,0.87292,0.95047,0,0.008911,0.008911,0.008911
13,45967.5,1.05305,2.79147,0.8723,0.98925,0,0.57794,0.35694,0.39877,0.25117,0.06722,0.0553,0.03051,0.01131,0.97344,5.80289,0.87834,0.94939,0,0.008812,0.008812,0.008812
14,49530.3,1.04834,2.77629,0.86765,0.98627,0,0.57738,0.35757,0.39941,0.25199,0.0287,0.02718,0.0103,0.00336,0.97085,5.98355,0.87883,0.94849,0,0.008713,0.008713,0.008713
15,53105.2,1.0449,2.77072,0.864,0.9845,0,0.57938,0.35814,0.40021,0.25296,0.02178,0.02182,0.00597,0.00176,0.96774,6.34345,0.87894,0.94699,0,0.008614,0.008614,0.008614
16,56647.5,1.04039,2.7634,0.86126,0.98327,0,0.57852,0.35941,0.40078,0.25354,0.01776,0.01673,0.00422,0.00111,0.96446,6.60984,0.87496,0.94618,0,0.008515,0.008515,0.008515
17,60176.8,1.03761,2.75948,0.85892,0.98194,0,0.57831,0.36,0.40169,0.2544,0.00565,0.0063,0.00149,0.00042,0.96186,7.07823,0.87097,0.94475,0,0.008416,0.008416,0.008416
18,63696.7,1.03757,2.75304,0.85652,0.98185,0,0.57793,0.36341,0.40355,0.25564,0.00403,0.00474,0.00112,0.00034,0.95917,7.12973,0.86347,0.94363,0,0.008317,0.008317,0.008317
19,67266,1.03417,2.75262,0.85495,0.9803,0,0.57796,0.36656,0.405,0.25659,0.00413,0.0049,0.00114,0.00035,0.95667,7.22524,0.85646,0.94256,0,0.008218,0.008218,0.008218
